State,21-Mar,5-Mar,11-Jun,17-Dec,17-Jun,18-21
Alabama,90319,7827,41360,36710,78070,4422
Alaska,19148,2430,8437,7360,15797,921
American Samoa,636,37,219,352,571,28
Arizona,140702,16517,61767,56769,118536,5649
Arkansas,72835,13716,30143,26325,56468,2651
Bureau of Indian Education,6285,250,3220,2564,5784,251
California,767562,83853,318620,325636,644256,39453
Colorado,102240,14293,43816,39609,83425,4522
Connecticut,79758,9120,30661,35787,66448,4190
Delaware,23196,2616,9919,9403,19322,1258
District of Columbia,13399,1789,5605,5253,10858,752
Federated States of Micronesia,1851,116,777,825,1602,133
Florida,389626,39862,167636,156931,324567,25197
Georgia,214267,18833,93459,91865,185324,10110
Guam,2015,167,658,1051,1709,139
Hawaii,19276,2469,7554,8528,16082,725
Idaho,32908,3733,14766,13137,27903,1272
Illinois,295066,37137,120600,121900,242500,15429
Indiana,176104,18644,73545,73899,147444,10016
Iowa,65935,6976,29332,26964,56296,2663
Kansas,73729,11772,31837,27250,59087,2870
Kentucky,104270,18070,48639,33903,82542,3658
Louisiana,84473,9885,38349,31583,69932,4656
Maine,3384,3384,,,,
Maryland,108491,14300,45088,44129,89217,4974
Massachusetts,173762,18022,70777,75800,146577,9163
Michigan,198751,21624,82178,84106,166284,10843
Minnesota,118800,,56781,54715,111496,7304
Mississippi,69197,8400,32504,25280,57784,3013
Missouri,131114,18400,56173,51085,107258,5456
Montana,18803,1660,8643,8050,16693,450
Nebraska,50415,6217,22688,19662,42350,1848
Nevada,60123,8984,26080,23002,49082,2057
New Hampshire,29233,3519,11883,12776,24659,1055
New Jersey,238178,19846,101316,106856,208172,10160
New Mexico,52838,4413,24242,22045,46287,2138
New York,522221,71893,216628,210894,427522,22806
North Carolina,200905,19899,85334,85304,170638,10368
North Dakota,15153,2189,6489,5764,12253,711
Northern Marianas,956,116,348,412,760,80
Ohio,266670,25247,104895,120641,225536,15887
Oklahoma,112080,9751,48408,49222,97630,4699
Oregon,87156,11331,36205,35340,71545,4280
Pennsylvania,320817,36340,128015,139513,267528,16949
Puerto Rico,105827,12391,44819,45219,90038,3398
Republic of Palau,74,3,31,32,63,8
Republic of the Marshall Islands,606,25,205,321,526,55
Rhode Island,23748,3168,9559,9674,19233,1347
South Carolina,104698,9568,47389,42814,90203,4927
South Dakota,21190,2941,10105,7315,17420,829
Tennessee,129319,13950,55728,53403,109131,6238
Texas,498588,49681,209638,212695,422333,26574
Utah,84196,10731,38271,32051,70322,3143
Vermont,2005,2005,,,,
Virgin Islands,1105,126,375,513,888,91
Virginia,172370,18296,69812,74904,144716,9358
Washington,143498,16425,62560,57519,120079,6994
West Virginia,46810,5219,21653,17765,39418,2173
Wisconsin,,,,,,
Wyoming,15551,3419,6539,5108,11647,485
"US, Outlying Areas, and Freely Associated States",6904232,773595,2922278,2867533,5789811,340826
