State,21-Mar,5-Mar,11-Jun,17-Dec,17-Jun,18-21
Alabama,82354,7150,36216,34388,70604,4600
Alaska,18023,2034,7822,7215,15037,952
American Samoa,112,112,,,,
Arizona,131541,15113,57251,53485,110736,5692
Arkansas,66621,12881,27050,23997,51047,2693
Bureau Of Indian Education,6384,410,3019,2680,5699,275
California,711205,76641,293608,299222,592830,41734
Colorado,92782,12553,39323,36371,75694,4535
Connecticut,73293,8431,27767,33115,60882,3980
Delaware,19889,2050,8530,8255,16785,1054
District Of Columbia,12172,1429,4619,5208,9827,916
Federated States Of Micronesia,2061,133,839,967,1806,122
Florida,362925,38158,148639,149524,298163,26604
Georgia,196048,17725,84719,83716,168435,9888
Guam,2026,171,628,1077,1705,150
Hawaii,19081,2364,7357,8630,15987,730
Idaho,28477,3267,12716,11301,24017,1193
Illinois,294916,37599,119684,121404,241088,16229
Indiana,170465,17931,72078,70591,142669,9865
Iowa,63866,6322,27147,27470,54617,2927
Kansas,69845,11570,29584,25971,55555,2720
Kentucky,97820,16994,44601,32614,77215,3611
Louisiana,79245,9709,34608,30426,65034,4502
Maine,31920,3445,13638,13830,27468,1007
Maryland,104136,13105,42444,43586,86030,5001
Massachusetts,167799,16716,67158,74691,141849,9234
Michigan,198171,20456,80810,85951,166761,10954
Minnesota,125437,15296,51125,51657,102782,7359
Mississippi,66448,9299,31322,22969,54291,2858
Missouri,124652,16598,53005,49206,102211,5843
Montana,17032,1620,7591,7290,14881,531
Nebraska,47341,5465,21686,18368,40054,1822
Nevada,53755,8537,22737,20352,43089,2129
New Hampshire,28978,3332,11068,13346,24414,1232
New Jersey,232526,18222,98776,105278,204054,10250
New Mexico,47705,4285,22083,19361,41444,1976
New York,489077,68528,197710,199523,397233,23316
North Carolina,196045,18887,83450,83359,166809,10349
North Dakota,13636,1801,5708,5492,11200,635
Northern Marianas,892,84,299,449,748,60
Ohio,254187,22411,97535,118032,215567,16209
Oklahoma,105671,8919,46157,46247,92404,4348
Oregon,83207,9987,34616,34380,68996,4224
Pennsylvania,298274,32726,117169,131715,248884,16664
Puerto Rico,129086,16868,56029,52545,108574,3644
Republic Of Palau,106,6,39,49,88,12
Republic Of The Marshall Islands,733,30,279,383,662,41
Rhode Island,23360,2942,9151,9704,18855,1563
South Carolina,99100,8971,44289,40727,85016,5113
South Dakota,18975,2568,9254,6362,15616,791
Tennessee,130729,12527,57758,54367,112125,6077
Texas,451623,42654,186969,196829,383798,25171
Utah,77525,9686,35163,29601,64764,3075
Vermont,14008,1819,5440,6058,11498,691
Virgin Islands,1247,123,402,615,1017,107
Virginia,162165,16394,66494,70130,136624,9147
Washington,133459,14912,57298,54597,111895,6652
West Virginia,44267,4804,20465,16822,37287,2176
Wisconsin,120434,15846,48752,50457,99209,5379
Wyoming,3081,3081,,,,
"US, Outlying Areas, and Freely Associated States",6697938,753697,2791674,2801955,5593629,350612
